partid,locid,historybegdate,historyamount
1234875,114104,7/4/2015,931
1234875,114104,7/11/2015,988
1234875,114104,7/18/2015,66
1234875,114104,7/25/2015,891
1234875,114104,8/1/2015,1010
1234875,114104,8/8/2015,1181
1234875,114104,8/15/2015,996
1234875,114104,8/22/2015,1016
1234875,114104,8/29/2015,1108
1234875,114104,9/5/2015,1023
1234875,114104,9/12/2015,1159
1234875,114104,9/19/2015,983
1234875,114104,9/26/2015,843
1234875,114104,10/3/2015,889
1234875,114104,10/10/2015,865
1234875,114104,10/17/2015,678
1234875,114104,10/24/2015,790
1234875,114104,10/31/2015,777
1234875,114104,11/7/2015,489
1234875,114104,11/14/2015,798
1234875,114104,11/21/2015,832
1234875,114104,11/28/2015,741
1234875,114104,12/5/2015,712
1234875,114104,12/12/2015,695
1234875,114104,12/19/2015,649
1234875,114104,12/26/2015,726
1234875,114104,1/2/2016,780
1234875,114104,1/9/2016,695
1234875,114104,1/16/2016,718
1234875,114104,1/23/2016,630
1234875,114104,1/30/2016,618
1234875,114104,2/6/2016,629
1234875,114104,2/13/2016,594
1234875,114104,2/20/2016,539
1234875,114104,2/27/2016,580
1234875,114104,3/5/2016,512
1234875,114104,3/12/2016,482
1234875,114104,3/19/2016,359
1234875,114104,3/26/2016,558
1234875,114104,4/2/2016,540
1234875,114104,4/9/2016,522
1234875,114104,4/16/2016,501
1234875,114104,4/23/2016,474
1234875,114104,4/30/2016,413
1234875,114104,5/7/2016,342
1234875,114104,5/14/2016,328
1234875,114104,5/21/2016,401
1234875,114104,5/28/2016,390
1234875,114104,6/4/2016,380
1234875,114104,6/11/2016,426
1234875,114104,6/18/2016,422
1234875,114104,6/25/2016,484
1234875,114104,7/2/2016,439
1234875,114104,7/9/2016,531
1234875,114104,7/16/2016,500
1234875,114104,7/23/2016,385
1234875,114104,7/30/2016,587
1234875,114104,8/6/2016,462
1234875,114104,8/13/2016,416
1234875,114104,8/20/2016,379
1234875,114104,8/27/2016,535
1234875,114104,9/3/2016,508
1234875,114104,9/10/2016,432
1234875,114104,9/17/2016,479
1234875,114104,9/24/2016,533
1234875,114104,10/1/2016,475
1234875,114104,10/8/2016,324
1234875,114104,10/15/2016,428
1234875,114104,10/22/2016,387
1234875,114104,10/29/2016,294
1234875,114104,11/5/2016,337
1234875,114104,11/12/2016,346
1234875,114104,11/19/2016,295
1234875,114104,11/26/2016,270
1234875,114104,12/3/2016,296
1234875,114104,12/10/2016,247
1234875,114104,12/17/2016,306
1234875,114104,12/24/2016,318
1234875,114104,12/31/2016,275
1234875,114104,1/7/2017,264
1234875,114104,1/14/2017,267
1234875,114104,1/21/2017,252
1234875,114104,1/28/2017,253
1234875,114104,2/4/2017,233
1234875,114104,2/11/2017,278
1234875,114104,2/18/2017,248
1234875,114104,2/25/2017,247
1234875,114104,3/4/2017,236
1234875,114104,3/11/2017,212
1234875,114104,3/18/2017,238
1234875,114104,3/25/2017,215
1234875,114104,4/1/2017,238
1234875,114104,4/8/2017,259
1234875,114104,4/15/2017,235
1234875,114104,4/22/2017,250
1234875,114104,4/29/2017,221
1234875,114104,5/6/2017,280
1234875,114104,5/13/2017,239
1234875,114104,5/20/2017,237
1234875,114104,5/27/2017,204
1234875,114104,6/3/2017,227
1234875,114104,6/10/2017,246
1234875,114104,6/17/2017,226
1234875,114104,6/24/2017,211
1234875,114104,7/1/2017,335
1234875,114104,7/8/2017,283
1234875,114104,7/15/2017,321
1234875,114104,7/22/2017,291
1234875,114104,7/29/2017,297
1234875,114104,8/5/2017,253
1234875,114104,8/12/2017,230
1234875,114104,8/19/2017,241
1234875,114104,8/26/2017,258
1234875,114104,9/2/2017,285
1234875,114104,9/9/2017,318
1234875,114104,9/16/2017,261
1234875,114104,9/23/2017,257
1234875,114104,9/30/2017,234
1234875,114104,10/7/2017,276
1234875,114104,10/14/2017,190
1234875,114104,10/21/2017,232
1234875,114104,10/28/2017,213
1234875,114104,11/4/2017,209
1234875,114104,11/11/2017,210
1234875,114104,11/18/2017,194
1234875,114104,11/25/2017,182
1234875,114104,12/2/2017,174
1234875,114104,12/9/2017,176
1234875,114104,12/16/2017,176
1234875,114104,12/23/2017,119
1234875,114104,12/30/2017,124
1234875,114104,1/6/2018,146
1234875,114104,1/13/2018,112
1234875,114104,1/20/2018,101
1234875,114104,1/27/2018,98
1234875,114104,2/3/2018,100
1234875,114104,2/10/2018,77
1234875,114104,2/17/2018,103
1234875,114104,2/24/2018,70
1234875,114104,3/3/2018,91
1234875,114104,3/10/2018,73
1234875,114104,3/17/2018,95
1234875,114104,3/24/2018,77
1234875,114104,3/31/2018,20
1234875,114104,4/7/2018,26
1234875,114104,4/14/2018,36
1234875,114104,4/21/2018,27
1234875,114104,4/28/2018,43
1234875,114104,5/5/2018,78
1234875,114104,5/12/2018,58
1234875,114104,5/19/2018,81
1234875,114104,5/26/2018,65
1234875,114104,6/2/2018,44
1234875,114104,6/9/2018,60
1234875,114104,6/16/2018,40
1234875,114104,6/23/2018,62
1234875,114104,6/30/2018,55
1234875,114104,7/7/2018,50
1234875,114104,7/14/2018,55
1234875,114104,7/21/2018,60
1234875,114104,7/28/2018,55
1234875,114104,8/4/2018,24
