partid,locid,historybegdate,historyamount
1240455,114104,7/4/2015,153
1240455,114104,7/11/2015,184
1240455,114104,7/18/2015,2
1240455,114104,7/25/2015,154
1240455,114104,8/1/2015,169
1240455,114104,8/8/2015,167
1240455,114104,8/15/2015,170
1240455,114104,8/22/2015,136
1240455,114104,8/29/2015,204
1240455,114104,9/5/2015,167
1240455,114104,9/12/2015,164
1240455,114104,9/19/2015,176
1240455,114104,9/26/2015,143
1240455,114104,10/3/2015,163
1240455,114104,10/10/2015,187
1240455,114104,10/17/2015,129
1240455,114104,10/24/2015,148
1240455,114104,10/31/2015,156
1240455,114104,11/7/2015,90
1240455,114104,11/14/2015,171
1240455,114104,11/21/2015,170
1240455,114104,11/28/2015,147
1240455,114104,12/5/2015,144
1240455,114104,12/12/2015,160
1240455,114104,12/19/2015,133
1240455,114104,12/26/2015,123
1240455,114104,1/2/2016,136
1240455,114104,1/9/2016,116
1240455,114104,1/16/2016,140
1240455,114104,1/23/2016,114
1240455,114104,1/30/2016,124
1240455,114104,2/6/2016,136
1240455,114104,2/13/2016,126
1240455,114104,2/20/2016,136
1240455,114104,2/27/2016,151
1240455,114104,3/5/2016,131
1240455,114104,3/12/2016,131
1240455,114104,3/19/2016,76
1240455,114104,3/26/2016,129
1240455,114104,4/2/2016,114
1240455,114104,4/9/2016,120
1240455,114104,4/16/2016,102
1240455,114104,4/23/2016,102
1240455,114104,4/30/2016,122
1240455,114104,5/7/2016,95
1240455,114104,5/14/2016,78
1240455,114104,5/21/2016,115
1240455,114104,5/28/2016,95
1240455,114104,6/4/2016,103
1240455,114104,6/11/2016,123
1240455,114104,6/18/2016,142
1240455,114104,6/25/2016,169
1240455,114104,7/2/2016,192
1240455,114104,7/9/2016,191
1240455,114104,7/16/2016,188
1240455,114104,7/23/2016,149
1240455,114104,7/30/2016,231
1240455,114104,8/6/2016,191
1240455,114104,8/13/2016,147
1240455,114104,8/20/2016,141
1240455,114104,8/27/2016,225
1240455,114104,9/3/2016,194
1240455,114104,9/10/2016,179
1240455,114104,9/17/2016,195
1240455,114104,9/24/2016,198
1240455,114104,10/1/2016,204
1240455,114104,10/8/2016,158
1240455,114104,10/15/2016,170
1240455,114104,10/22/2016,132
1240455,114104,10/29/2016,108
1240455,114104,11/5/2016,131
1240455,114104,11/12/2016,137
1240455,114104,11/19/2016,124
1240455,114104,11/26/2016,114
1240455,114104,12/3/2016,117
1240455,114104,12/10/2016,132
1240455,114104,12/17/2016,128
1240455,114104,12/24/2016,151
1240455,114104,12/31/2016,140
1240455,114104,1/7/2017,146
1240455,114104,1/14/2017,107
1240455,114104,1/21/2017,110
1240455,114104,1/28/2017,114
1240455,114104,2/4/2017,122
1240455,114104,2/11/2017,130
1240455,114104,2/18/2017,120
1240455,114104,2/25/2017,110
1240455,114104,3/4/2017,121
1240455,114104,3/11/2017,88
1240455,114104,3/18/2017,115
1240455,114104,3/25/2017,124
1240455,114104,4/1/2017,119
1240455,114104,4/8/2017,113
1240455,114104,4/15/2017,112
1240455,114104,4/22/2017,136
1240455,114104,4/29/2017,98
1240455,114104,5/6/2017,93
1240455,114104,5/13/2017,102
1240455,114104,5/20/2017,92
1240455,114104,5/27/2017,111
1240455,114104,6/3/2017,110
1240455,114104,6/10/2017,119
1240455,114104,6/17/2017,143
1240455,114104,6/24/2017,138
1240455,114104,7/1/2017,173
1240455,114104,7/8/2017,166
1240455,114104,7/15/2017,207
1240455,114104,7/22/2017,231
1240455,114104,7/29/2017,200
1240455,114104,8/5/2017,177
1240455,114104,8/12/2017,154
1240455,114104,8/19/2017,157
1240455,114104,8/26/2017,191
1240455,114104,9/2/2017,184
1240455,114104,9/9/2017,161
1240455,114104,9/16/2017,161
1240455,114104,9/23/2017,173
1240455,114104,9/30/2017,150
1240455,114104,10/7/2017,160
1240455,114104,10/14/2017,93
1240455,114104,10/21/2017,151
1240455,114104,10/28/2017,144
1240455,114104,11/4/2017,106
1240455,114104,11/11/2017,123
1240455,114104,11/18/2017,112
1240455,114104,11/25/2017,88
1240455,114104,12/2/2017,89
1240455,114104,12/9/2017,97
1240455,114104,12/16/2017,84
1240455,114104,12/23/2017,81
1240455,114104,12/30/2017,94
1240455,114104,1/6/2018,98
1240455,114104,1/13/2018,68
1240455,114104,1/20/2018,70
1240455,114104,1/27/2018,84
1240455,114104,2/3/2018,77
1240455,114104,2/10/2018,67
1240455,114104,2/17/2018,66
1240455,114104,2/24/2018,73
1240455,114104,3/3/2018,69
1240455,114104,3/10/2018,70
1240455,114104,3/17/2018,68
1240455,114104,3/24/2018,44
1240455,114104,3/31/2018,57
1240455,114104,4/7/2018,54
1240455,114104,4/14/2018,51
1240455,114104,4/21/2018,41
1240455,114104,4/28/2018,50
1240455,114104,5/5/2018,54
1240455,114104,5/12/2018,73
1240455,114104,5/19/2018,60
1240455,114104,5/26/2018,56
1240455,114104,6/2/2018,63
1240455,114104,6/9/2018,75
1240455,114104,6/16/2018,54
1240455,114104,6/23/2018,56
1240455,114104,6/30/2018,66
1240455,114104,7/7/2018,57
1240455,114104,7/14/2018,106
1240455,114104,7/21/2018,84
1240455,114104,7/28/2018,83
1240455,114104,8/4/2018,25
