partid,locid,historybegdate,historyamount
1954319,113821,7/4/2015,201
1954319,113821,7/11/2015,200
1954319,113821,7/18/2015,18
1954319,113821,7/25/2015,226
1954319,113821,8/1/2015,320
1954319,113821,8/8/2015,329
1954319,113821,8/15/2015,418
1954319,113821,8/22/2015,571
1954319,113821,8/29/2015,464
1954319,113821,9/5/2015,513
1954319,113821,9/12/2015,470
1954319,113821,9/19/2015,452
1954319,113821,9/26/2015,498
1954319,113821,10/3/2015,499
1954319,113821,10/10/2015,572
1954319,113821,10/17/2015,461
1954319,113821,10/24/2015,450
1954319,113821,10/31/2015,471
1954319,113821,11/7/2015,408
1954319,113821,11/14/2015,523
1954319,113821,11/21/2015,430
1954319,113821,11/28/2015,571
1954319,113821,12/5/2015,460
1954319,113821,12/12/2015,559
1954319,113821,12/19/2015,448
1954319,113821,12/26/2015,482
1954319,113821,1/2/2016,573
1954319,113821,1/9/2016,593
1954319,113821,1/16/2016,546
1954319,113821,1/23/2016,579
1954319,113821,1/30/2016,408
1954319,113821,2/6/2016,257
1954319,113821,2/13/2016,318
1954319,113821,2/20/2016,254
1954319,113821,2/27/2016,326
1954319,113821,3/5/2016,275
1954319,113821,3/12/2016,279
1954319,113821,3/19/2016,227
1954319,113821,3/26/2016,220
1954319,113821,4/2/2016,246
1954319,113821,4/9/2016,179
1954319,113821,4/16/2016,182
1954319,113821,4/23/2016,282
1954319,113821,4/30/2016,205
1954319,113821,5/7/2016,267
1954319,113821,5/14/2016,198
1954319,113821,5/21/2016,216
1954319,113821,5/28/2016,290
1954319,113821,6/4/2016,294
1954319,113821,6/11/2016,315
1954319,113821,6/18/2016,285
1954319,113821,6/25/2016,319
1954319,113821,7/2/2016,240
1954319,113821,7/9/2016,294
1954319,113821,7/16/2016,297
1954319,113821,7/23/2016,200
1954319,113821,7/30/2016,355
1954319,113821,8/6/2016,325
1954319,113821,8/13/2016,289
1954319,113821,8/20/2016,263
1954319,113821,8/27/2016,336
1954319,113821,9/3/2016,312
1954319,113821,9/10/2016,271
1954319,113821,9/17/2016,302
1954319,113821,9/24/2016,337
1954319,113821,10/1/2016,343
1954319,113821,10/8/2016,260
1954319,113821,10/15/2016,314
1954319,113821,10/22/2016,301
1954319,113821,10/29/2016,291
1954319,113821,11/5/2016,327
1954319,113821,11/12/2016,305
1954319,113821,11/19/2016,297
1954319,113821,11/26/2016,292
1954319,113821,12/3/2016,256
1954319,113821,12/10/2016,250
1954319,113821,12/17/2016,300
1954319,113821,12/24/2016,296
1954319,113821,12/31/2016,279
1954319,113821,1/7/2017,287
1954319,113821,1/14/2017,219
1954319,113821,1/21/2017,127
1954319,113821,1/28/2017,130
1954319,113821,2/4/2017,247
1954319,113821,2/11/2017,260
1954319,113821,2/18/2017,252
1954319,113821,2/25/2017,211
1954319,113821,3/4/2017,166
1954319,113821,3/11/2017,177
1954319,113821,3/18/2017,170
1954319,113821,3/25/2017,154
1954319,113821,4/1/2017,140
1954319,113821,4/8/2017,162
1954319,113821,4/15/2017,168
1954319,113821,4/22/2017,149
1954319,113821,4/29/2017,119
1954319,113821,5/6/2017,164
1954319,113821,5/13/2017,137
1954319,113821,5/20/2017,173
1954319,113821,5/27/2017,179
1954319,113821,6/3/2017,142
1954319,113821,6/10/2017,155
1954319,113821,6/17/2017,186
1954319,113821,6/24/2017,182
1954319,113821,7/1/2017,183
1954319,113821,7/8/2017,236
1954319,113821,7/15/2017,278
1954319,113821,7/22/2017,281
1954319,113821,7/29/2017,293
1954319,113821,8/5/2017,362
1954319,113821,8/12/2017,330
1954319,113821,8/19/2017,422
1954319,113821,8/26/2017,331
1954319,113821,9/2/2017,327
1954319,113821,9/9/2017,285
1954319,113821,9/16/2017,345
1954319,113821,9/23/2017,348
1954319,113821,9/30/2017,280
1954319,113821,10/7/2017,336
1954319,113821,10/14/2017,333
1954319,113821,10/21/2017,349
1954319,113821,10/28/2017,268
1954319,113821,11/4/2017,269
1954319,113821,11/11/2017,303
1954319,113821,11/18/2017,288
1954319,113821,11/25/2017,250
1954319,113821,12/2/2017,274
1954319,113821,12/9/2017,251
1954319,113821,12/16/2017,212
1954319,113821,12/23/2017,185
1954319,113821,12/30/2017,212
1954319,113821,1/6/2018,248
1954319,113821,1/13/2018,198
1954319,113821,1/20/2018,216
1954319,113821,1/27/2018,202
1954319,113821,2/3/2018,165
1954319,113821,2/10/2018,94
1954319,113821,2/17/2018,123
1954319,113821,2/24/2018,181
1954319,113821,3/3/2018,187
1954319,113821,3/10/2018,167
1954319,113821,3/17/2018,148
1954319,113821,3/24/2018,114
1954319,113821,3/31/2018,105
1954319,113821,4/7/2018,81
1954319,113821,4/14/2018,75
1954319,113821,4/21/2018,122
1954319,113821,4/28/2018,98
1954319,113821,5/5/2018,138
1954319,113821,5/12/2018,112
1954319,113821,5/19/2018,130
1954319,113821,5/26/2018,110
1954319,113821,6/2/2018,137
1954319,113821,6/9/2018,125
1954319,113821,6/16/2018,143
1954319,113821,6/23/2018,127
1954319,113821,6/30/2018,171
1954319,113821,7/7/2018,154
1954319,113821,7/14/2018,194
1954319,113821,7/21/2018,208
1954319,113821,7/28/2018,183
1954319,113821,8/4/2018,130
