partid,locid,historybegdate,historyamount
1954319,114104,7/4/2015,871
1954319,114104,7/11/2015,1003
1954319,114104,7/18/2015,59
1954319,114104,7/25/2015,1532
1954319,114104,8/1/2015,2049
1954319,114104,8/8/2015,2323
1954319,114104,8/15/2015,2484
1954319,114104,8/22/2015,2521
1954319,114104,8/29/2015,2850
1954319,114104,9/5/2015,2642
1954319,114104,9/12/2015,2325
1954319,114104,9/19/2015,2227
1954319,114104,9/26/2015,2063
1954319,114104,10/3/2015,1999
1954319,114104,10/10/2015,1830
1954319,114104,10/17/2015,1189
1954319,114104,10/24/2015,1242
1954319,114104,10/31/2015,1116
1954319,114104,11/7/2015,686
1954319,114104,11/14/2015,949
1954319,114104,11/21/2015,908
1954319,114104,11/28/2015,810
1954319,114104,12/5/2015,791
1954319,114104,12/12/2015,921
1954319,114104,12/19/2015,739
1954319,114104,12/26/2015,774
1954319,114104,1/2/2016,673
1954319,114104,1/9/2016,638
1954319,114104,1/16/2016,530
1954319,114104,1/23/2016,517
1954319,114104,1/30/2016,452
1954319,114104,2/6/2016,386
1954319,114104,2/13/2016,373
1954319,114104,2/20/2016,413
1954319,114104,2/27/2016,327
1954319,114104,3/5/2016,309
1954319,114104,3/12/2016,300
1954319,114104,3/19/2016,205
1954319,114104,3/26/2016,266
1954319,114104,4/2/2016,250
1954319,114104,4/9/2016,181
1954319,114104,4/16/2016,207
1954319,114104,4/23/2016,190
1954319,114104,4/30/2016,205
1954319,114104,5/7/2016,173
1954319,114104,5/14/2016,192
1954319,114104,5/21/2016,240
1954319,114104,5/28/2016,249
1954319,114104,6/4/2016,250
1954319,114104,6/11/2016,291
1954319,114104,6/18/2016,323
1954319,114104,6/25/2016,365
1954319,114104,7/2/2016,409
1954319,114104,7/9/2016,645
1954319,114104,7/16/2016,792
1954319,114104,7/23/2016,953
1954319,114104,7/30/2016,1295
1954319,114104,8/6/2016,1274
1954319,114104,8/13/2016,1355
1954319,114104,8/20/2016,1323
1954319,114104,8/27/2016,1565
1954319,114104,9/3/2016,1458
1954319,114104,9/10/2016,1355
1954319,114104,9/17/2016,1612
1954319,114104,9/24/2016,1692
1954319,114104,10/1/2016,1422
1954319,114104,10/8/2016,1133
1954319,114104,10/15/2016,1322
1954319,114104,10/22/2016,903
1954319,114104,10/29/2016,689
1954319,114104,11/5/2016,682
1954319,114104,11/12/2016,571
1954319,114104,11/19/2016,559
1954319,114104,11/26/2016,438
1954319,114104,12/3/2016,497
1954319,114104,12/10/2016,441
1954319,114104,12/17/2016,430
1954319,114104,12/24/2016,431
1954319,114104,12/31/2016,365
1954319,114104,1/7/2017,345
1954319,114104,1/14/2017,303
1954319,114104,1/21/2017,284
1954319,114104,1/28/2017,312
1954319,114104,2/4/2017,281
1954319,114104,2/11/2017,276
1954319,114104,2/18/2017,233
1954319,114104,2/25/2017,244
1954319,114104,3/4/2017,232
1954319,114104,3/11/2017,211
1954319,114104,3/18/2017,211
1954319,114104,3/25/2017,182
1954319,114104,4/1/2017,213
1954319,114104,4/8/2017,186
1954319,114104,4/15/2017,170
1954319,114104,4/22/2017,186
1954319,114104,4/29/2017,190
1954319,114104,5/6/2017,187
1954319,114104,5/13/2017,201
1954319,114104,5/20/2017,221
1954319,114104,5/27/2017,190
1954319,114104,6/3/2017,237
1954319,114104,6/10/2017,229
1954319,114104,6/17/2017,277
1954319,114104,6/24/2017,268
1954319,114104,7/1/2017,380
1954319,114104,7/8/2017,471
1954319,114104,7/15/2017,510
1954319,114104,7/22/2017,614
1954319,114104,7/29/2017,726
1954319,114104,8/5/2017,833
1954319,114104,8/12/2017,830
1954319,114104,8/19/2017,868
1954319,114104,8/26/2017,1077
1954319,114104,9/2/2017,1059
1954319,114104,9/9/2017,1072
1954319,114104,9/16/2017,1004
1954319,114104,9/23/2017,931
1954319,114104,9/30/2017,828
1954319,114104,10/7/2017,876
1954319,114104,10/14/2017,746
1954319,114104,10/21/2017,735
1954319,114104,10/28/2017,760
1954319,114104,11/4/2017,572
1954319,114104,11/11/2017,521
1954319,114104,11/18/2017,485
1954319,114104,11/25/2017,401
1954319,114104,12/2/2017,400
1954319,114104,12/9/2017,401
1954319,114104,12/16/2017,391
1954319,114104,12/23/2017,286
1954319,114104,12/30/2017,309
1954319,114104,1/6/2018,265
1954319,114104,1/13/2018,234
1954319,114104,1/20/2018,197
1954319,114104,1/27/2018,191
1954319,114104,2/3/2018,186
1954319,114104,2/10/2018,184
1954319,114104,2/17/2018,141
1954319,114104,2/24/2018,136
1954319,114104,3/3/2018,164
1954319,114104,3/10/2018,151
1954319,114104,3/17/2018,140
1954319,114104,3/24/2018,152
1954319,114104,3/31/2018,132
1954319,114104,4/7/2018,123
1954319,114104,4/14/2018,117
1954319,114104,4/21/2018,116
1954319,114104,4/28/2018,113
1954319,114104,5/5/2018,136
1954319,114104,5/12/2018,136
1954319,114104,5/19/2018,142
1954319,114104,5/26/2018,142
1954319,114104,6/2/2018,174
1954319,114104,6/9/2018,151
1954319,114104,6/16/2018,182
1954319,114104,6/23/2018,222
1954319,114104,6/30/2018,227
1954319,114104,7/7/2018,278
1954319,114104,7/14/2018,308
1954319,114104,7/21/2018,393
1954319,114104,7/28/2018,481
1954319,114104,8/4/2018,293
